Log Message,Sequenced Largest Group,Group Size
runtime - Request received for endpoint: [lcl/api/v1/alert/list],"['runtime - Request Not Supported', 'runtime - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'runtime - Request Not Supported', 'runtime - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'runtime - Request Not Supported', 'runtime - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'runtime - Request Not Supported']",10
runtime - Request END -- [<NUM>],"['runtime - Request Not Supported', 'runtime - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'runtime - Request Not Supported', 'runtime - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'runtime - Request Not Supported', 'runtime - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'runtime - Request Not Supported']",10
runtime - Request Not Supported,"['runtime - Request Not Supported', 'runtime - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'runtime - Request Not Supported', 'runtime - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'runtime - Request Not Supported', 'runtime - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/alert/list]', 'runtime - Request Not Supported']",10
api/v1/app/health/score/get - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/health/score/get][en_US][<NUM>],"['com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/health/score/get]', 'api/v1/app/health/score/get - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/health/score/get][en_US][<NUM>]', 'api/v1/app/health/score/get - Checking user authz']",10
api/v1/app/health/score/get - Checking user authz,"['com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/health/score/get]', 'api/v1/app/health/score/get - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/health/score/get][en_US][<NUM>]', 'api/v1/app/health/score/get - Checking user authz']",10
"api/v1/app/health/score/get - reading input - payload, query params and path vars","['com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/health/score/get]', 'api/v1/app/health/score/get - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/health/score/get][en_US][<NUM>]', 'api/v1/app/health/score/get - Checking user authz', 'api/v1/app/health/score/get - reading input - payload, query params and path vars']",10
api/v1/app/health/score/get - performing input validation,"['com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/health/score/get]', 'api/v1/app/health/score/get - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/health/score/get][en_US][<NUM>]', 'api/v1/app/health/score/get - Checking user authz', 'api/v1/app/health/score/get - reading input - payload, query params and path vars', 'api/v1/app/health/score/get - performing input validation']",10
runtime - Request received for endpoint: [lcl/api/v1/app/health/score/get],"['com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/health/score/get]', 'api/v1/app/health/score/get - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/health/score/get][en_US][<NUM>]', 'api/v1/app/health/score/get - Checking user authz']",10
com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:<NUM> - END - ConcurrentTask [<NUM>],"['com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/health/score/get]', 'api/v1/app/health/score/get - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/health/score/get][en_US][<NUM>]', 'api/v1/app/health/score/get - Checking user authz']",10
com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>],"['com.obs.lcl.blmodule.helpers.NumAlertsByPeriodTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastLogIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaEventCountsTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.LastMetricsIngestionTSTask:<NUM> - END - ConcurrentTask [<NUM>]', 'com.obs.lcl.blmodule.helpers.InstaUptimeTask:<NUM> - END - ConcurrentTask [<NUM>]', 'api/v1/app/health/score/get - generating output', 'api/v1/app/health/score/get - Request END -- [<NUM>]', 'runtime - Request received for endpoint: [lcl/api/v1/app/health/score/get]', 'api/v1/app/health/score/get - Request START -- [<NUM>.<NUM>.<NUM>.<NUM>][lcl/api/v1/app/health/score/get][en_US][<NUM>]', 'api/v1/app/health/score/get - Checking user authz']",10
